"","x"
"455","SAO MIGUEL DO OESTE"
"456","SAO PAULO"
"457","SAO ROQUE"
"458","SAO SEBASTIAO DO PARAISO"
"459","SAO VICENTE"
"460","SAPE"
"461","SAPIRANGA"
"462","SAPUCAIA"
"463","SAPUCAIA DO SUL"
"464","SAQUAREMA"
"465","SENA MADUREIRA"
"466","SENADOR GUIOMARD"
"467","SENHOR DO BONFIM"
"468","SERRA"
"469","SERRA TALHADA"
"470","SERRINHA"
"471","SERTANIA"
"472","SERTAOZINHO"
"473","SETE LAGOAS"
"474","SIMAO DIAS"
"475","SIMOES FILHO"
"476","SINOP"
"477","SOBRAL"
"478","SOROCABA"
"479","SORRISO"
"480","SOUSA"
"481","SUMARE"
"482","SUZANO"
"483","TABOAO DA SERRA"
"484","TATUI"
"485","TAUBATE"
"486","TEFE"
"487","TEIXEIRA DE FREITAS"
"488","TEOFILO OTONI"
"489","TERESINA"
"490","TERESOPOLIS"
"491","TIMON"
"492","TIMOTEO"
"493","TOBIAS BARRETO"
"494","TOLEDO"
"495","TORRES"
"496","TRAMANDAI"
"497","TRES CORACOES"
"498","TRES LAGOAS"
"499","TRES RIOS"
"500","TRINDADE"
"501","TUBARAO"
"502","TUCURUI"
"503","TUPA"
"504","UBA"
"505","UBATUBA"
"506","UBERABA"
"507","UBERLANDIA"
"508","UMUARAMA"
"509","UNAI"
"510","UNIAO DA VITORIA"
"511","URUGUAIANA"
"512","VACARIA"
"513","VALENCA"
"514","VALINHOS"
"515","VALPARAISO DE GOIAS"
"516","VARGINHA"
"517","VARZEA GRANDE"
"518","VARZEA PAULISTA"
"519","VASSOURAS"
"520","VESPASIANO"
"521","VIAMAO"
"522","VICOSA"
"523","VIDEIRA"
"524","VILA VELHA"
"525","VILHENA"
"526","VINHEDO"
"527","VITORIA"
"528","VITORIA DA CONQUISTA"
"529","VITORIA DE SANTO ANTAO"
"530","VOLTA REDONDA"
"531","VOTORANTIM"
"532","VOTUPORANGA"
"533","XANXERE"
"534","XINGUARA"
